activity name,time started,time ended,comment,categories,record tags,duration,duration minutes
"Commute",2026-06-11 06:30:27,2026-06-11 07:20:32,"","","",0:50:5,50
"Walk",2026-06-11 07:20:32,2026-06-11 07:20:33,"","","",0:0:1,0
"Walk",2026-06-11 07:20:34,2026-06-11 07:42:38,"","","",0:22:4,22
"Work",2026-06-11 07:42:38,2026-06-11 13:00:09,"","","",5:17:31,317
"Break",2026-06-11 13:00:09,2026-06-11 13:56:16,"","","",0:56:7,56
"Work",2026-06-11 13:56:16,2026-06-11 14:21:23,"","","",0:25:7,25
"Commute",2026-06-11 14:21:23,2026-06-11 15:24:29,"","","",1:3:6,63
"Work",2026-06-11 15:24:29,2026-06-11 17:24:37,"","","",2:0:8,120
"Work",2026-06-12 07:46:22,2026-06-12 12:26:14,"","","",4:39:52,279
"Walk",2026-06-12 13:44:19,2026-06-12 14:27:40,"","","",0:43:21,43
"Work",2026-06-12 14:27:40,2026-06-12 17:47:56,"","","",3:20:16,200
"Walk",2026-06-13 13:52:14,2026-06-13 15:20:50,"","","",1:28:36,88
"Walk",2026-06-13 19:48:01,2026-06-13 19:48:26,"","","",0:0:25,0
"Break",2026-06-13 19:48:26,2026-06-13 19:48:28,"","","",0:0:2,0
"Break",2026-06-13 19:48:29,2026-06-13 19:56:59,"","","",0:8:30,8
"Work",2026-06-15 07:39:27,2026-06-15 12:55:46,"","","",5:16:19,316
"Break",2026-06-15 12:55:46,2026-06-15 12:58:54,"","","",0:3:8,3
"Walk",2026-06-15 12:58:54,2026-06-15 13:19:42,"","","",0:20:48,20
"Break",2026-06-15 13:19:42,2026-06-15 13:55:34,"","","",0:35:52,35
"Walk",2026-06-15 13:55:34,2026-06-15 14:15:04,"","","",0:19:30,19
"Work",2026-06-15 14:21:04,2026-06-15 17:00:55,"","","",2:39:51,159
"Commute",2026-06-16 06:25:23,2026-06-16 07:33:28,"","","",1:8:5,68
"Work",2026-06-16 07:33:28,2026-06-16 11:51:50,"","","",4:18:22,258
"Break",2026-06-16 11:51:50,2026-06-16 12:05:50,"","","",0:14:0,14
"Work",2026-06-16 12:05:50,2026-06-16 14:32:29,"","","",2:26:39,146
"Commute",2026-06-16 14:32:25,2026-06-16 15:23:29,"","","",0:51:4,51
"Walk",2026-06-16 15:23:29,2026-06-16 15:51:25,"","","",0:27:56,27
"Commute",2026-06-16 15:51:40,2026-06-16 16:02:10,"","","",0:10:30,10
"Work",2026-06-16 16:12:10,2026-06-16 17:36:42,"","","",1:24:32,84
"Commute",2026-06-17 06:15:54,2026-06-17 07:21:55,"","","",1:6:1,66
"Work",2026-06-17 07:21:55,2026-06-17 12:15:25,"","","",4:53:30,293
"Break",2026-06-17 12:15:25,2026-06-17 12:27:51,"","","",0:12:26,12
"Walk",2026-06-17 12:27:51,2026-06-17 13:09:28,"","","",0:41:37,41
"Work",2026-06-17 13:09:28,2026-06-17 14:32:43,"","","",1:23:15,83
"Commute",2026-06-17 14:33:00,2026-06-17 15:23:00,"","","",0:50:0,50
"Work",2026-06-17 15:40:00,2026-06-17 17:40:00,"","","",2:0:0,120
